Folder,Controller,Start_Modality,Task_1,Task_2,Task_3,Task_4,Task_5
AAHF21-RW-WITH-VR-TRIAL-2-ROSBAG,CHIRON,WITH-VR,75.64498901367188,124.51729583740234,163.71755981445312,181.565673828125,212.46995544433597
AAHF21-RW-WITH-VR-TRIAL-1-ROSBAG,CHIRON,WITH-VR,165.3433074951172,472.9456176757813,507.929931640625,535.1941528320312,573.0104370117188
AAHF21-RW-NO-VR-TRIAL-2-ROSBAG,CHIRON,WITH-VR,37.954383850097656,82.73871612548828,101.73888397216795,119.71501922607422,139.9552001953125
AAHF21-RW-NO-VR-TRIAL-1-ROSBAG,CHIRON,WITH-VR,26.21088409423828,54.83525085449219,76.89928436279297,90.27539825439452,108.46763610839844
AAHF21-RW-NO-VR-TRIAL-3-ROSBAG,CHIRON,WITH-VR,38.964263916015625,80.34854888916016,97.68470764160156,110.35672760009766,126.5813217163086
AAHF21-RW-WITH-VR-TRIAL-3-ROSBAG,CHIRON,WITH-VR,67.1939926147461,130.1065216064453,163.16265869140625,178.4589080810547,213.4750823974609
ATSF08-RW-NO-VR-TRIAL-3-ROSBAG,CHIRON,WITH-VR,78.86105346679688,118.59713745117188,150.36541748046875,181.94964599609372,206.93382263183597
ATSF08-RW-NO-VR-TRIAL-2-ROSBAG,CHIRON,WITH-VR,65.81491088867188,108.45555114746094,169.1116943359375,184.96783447265625,204.45602416992188
ATSF08-RW-WITH-VR-TRIAL-3-ROSBAG,CHIRON,WITH-VR,67.31475067138672,136.09921264648438,155.15536499023438,234.49200439453125,270.0604858398437
ATSF08-RW-NO-VR-TRIAL-1-ROSBAG,CHIRON,WITH-VR,94.14752960205078,133.6837921142578,158.6759796142578,201.07627868652344,226.55653381347656
ATSF08-RW-WITH-VR-TRIAL-1-ROSBAG,CHIRON,WITH-VR,102.64176177978516,163.64207458496094,181.9462432861328,206.82635498046875,261.1866760253906
ATSF08-RW-WITH-VR-TRIAL-2-ROSBAG,CHIRON,WITH-VR,48.70425415039063,125.7364730834961,157.3207244873047,180.2729949951172,225.51318359375
DAMA12-RW-WITH-VR-TRIAL-2-ROSBAG,CHIRON,WITH-VR,57.04369354248047,99.81993103027344,121.60401153564452,298.2694091796875,330.7814025878906
DAMA12-RW-WITH-VR-TRIAL-3-ROSBAG,CHIRON,WITH-VR,35.250946044921875,116.41956329345705,157.1318817138672,193.96424865722656,228.67657470703125
DAMA12-RW-NO-VR-TRIAL-2-ROSBAG,CHIRON,WITH-VR,23.93396759033203,53.3820686340332,69.94218444824219,78.11026000976562,95.47844696044922
DAMA12-RW-WITH-VR-TRIAL-1-ROSBAG,CHIRON,WITH-VR,57.893367767333984,147.1740264892578,177.5740509033203,211.49432373046875,255.41461181640625
DAMA12-RW-NO-VR-TRIAL-3-ROSBAG,CHIRON,WITH-VR,33.53174591064453,55.828346252441406,56.81199645996094,75.32408905029297,99.74826049804688
DAMA12-RW-NO-VR-TRIAL-1-ROSBAG,CHIRON,WITH-VR,91.65943145751952,123.38742065429688,143.66757202148438,176.06784057617188,199.5318756103516
RENL05-RW-NO-VR-TRIAL-1-ROSBAG,CHIRON,WITH-VR,105.16954803466795,164.90615844726562,188.0982666015625,203.8903961181641,231.04269409179688
RENL05-RW-WITH-VR-TRIAL-3-ROSBAG,CHIRON,WITH-VR,111.32093811035156,166.19337463378906,214.5057678222656,241.82606506347656,271.1542663574219
RENL05-RW-WITH-VR-TRIAL-1-ROSBAG,CHIRON,WITH-VR,293.548828125,442.9499206542969,490.46240234375,523.2786254882812,571.3189697265625
RENL05-RW-NO-VR-TRIAL-2-ROSBAG,CHIRON,WITH-VR,88.88246154785156,207.97935485839844,226.42739868164065,246.4196014404297,273.15582275390625
RENL05-RW-NO-VR-TRIAL-3-ROSBAG,CHIRON,WITH-VR,55.015472412109375,252.713134765625,272.4814147949219,301.4495544433594,317.1617126464844
RENL05-RW-WITH-VR-TRIAL-2-ROSBAG,CHIRON,WITH-VR,116.22761535644533,357.1655578613281,401.9979553222656,413.2380676269531,437.7262878417969
EECW29-RW-NO-VR-TRIAL-3-ROSBAG,CHIRON,WITH-VR,68.0,128.94493103027344,157.0,166.2012939453125,183.51341247558597
EECW29-RW-NO-VR-TRIAL-2-ROSBAG,CHIRON,WITH-VR,53.87535095214844,126.25990295410156,159.15599060058594,167.48426818847656,186.2122344970703
EECW29-RW-WITH-VR-TRIAL-2-ROSBAG,CHIRON,WITH-VR,66.73347473144531,180.4140472412109,208.83018493652344,236.84646606445312,272.3586120605469
EECW29-RW-NO-VR-TRIAL-1-ROSBAG,CHIRON,WITH-VR,60.24703598022461,133.40744018554688,151.83956909179688,172.8556671142578,198.7279357910156
EECW29-RW-WITH-VR-TRIAL-3-ROSBAG,CHIRON,WITH-VR,102.11892700195312,174.7194366455078,190.19143676757807,218.98362731933597,248.32786560058597
EECW29-RW-WITH-VR-TRIAL-1-ROSBAG,CHIRON,WITH-VR,65.08980560302734,136.74612426757812,173.29833984375,207.9144592285156,249.4906768798828
HASJ22-RW-WITH-VR-TRIAL-2-ROSBAG,CHIRON,NO-VR,115.45767974853516,233.60260009765625,254.3065948486328,280.36279296875,314.2591247558594
HASJ22-RW-WITH-VR-TRIAL-1-ROSBAG,CHIRON,NO-VR,85.58348846435547,188.0640869140625,221.85679626464844,316.75299072265625,374.8573913574219
HASJ22-RW-NO-VR-TRIAL-1-ROSBAG,CHIRON,NO-VR,75.5953598022461,377.077392578125,412.6294555664063,446.8697814941406,467.9018249511719
HASJ22-RW-NO-VR-TRIAL-3-ROSBAG,CHIRON,NO-VR,64.78697204589844,143.69960021972656,178.65980529785156,192.0938720703125,206.77200317382807
HASJ22-RW-NO-VR-TRIAL-2-ROSBAG,CHIRON,NO-VR,107.2678680419922,203.988525390625,233.5486602783203,339.2295837402344,367.5657348632813
HASJ22-RW-WITH-VR-TRIAL-3-ROSBAG,CHIRON,NO-VR,85.55267333984375,188.3614044189453,206.3294982910156,256.8338928222656,300.45849609375
DOCS21-RW-WITH-VR-TRIAL-1-ROSBAG,CHIRON,NO-VR,56.39760208129883,113.21417236328124,132.4303741455078,151.5348358154297,182.42282104492188
DOCS21-RW-NO-VR-TRIAL-2-ROSBAG,CHIRON,NO-VR,37.91095352172852,91.0151138305664,104.83927917480467,123.91986846923828,140.17556762695312
