,Time,data,data_numeric
0,1732617500.4520445,Head Camera,2
1,1732617500.452067,Head Camera,2
2,1732617500.5332472,Head Camera,2
3,1732617500.6210897,Head Camera,2
4,1732617500.884181,Head Camera,2
5,1732617501.1316128,Head Camera,2
6,1732617501.2000704,Head Camera,2
7,1732617501.3905604,Head Camera,2
8,1732617501.5928617,Head Camera,2
9,1732617501.7013545,Head Camera,2
10,1732617501.964295,Head Camera,2
11,1732617502.072255,Head Camera,2
12,1732617502.1855412,Head Camera,2
13,1732617502.276065,Head Camera,2
14,1732617502.4588888,Head Camera,2
15,1732617502.686354,Head Camera,2
16,1732617502.7748766,Head Camera,2
17,1732617502.9855454,Head Camera,2
18,1732617503.1826727,Head Camera,2
19,1732617503.2770016,Head Camera,2
20,1732617503.586129,Head Camera,2
21,1732617503.727934,Head Camera,2
22,1732617503.848247,Head Camera,2
23,1732617504.1102989,Head Camera,2
24,1732617504.2098942,Head Camera,2
25,1732617504.5252707,Head Camera,2
26,1732617504.6563215,Head Camera,2
27,1732617504.823892,Head Camera,2
28,1732617504.8935466,Head Camera,2
29,1732617505.0682647,Head Camera,2
30,1732617505.325893,Head Camera,2
31,1732617505.4995434,Head Camera,2
32,1732617505.565313,Head Camera,2
33,1732617505.7809088,Head Camera,2
34,1732617505.9604635,Head Camera,2
35,1732617506.2569442,Head Camera,2
36,1732617506.3568356,Head Camera,2
37,1732617506.4377463,Head Camera,2
38,1732617506.5455165,Head Camera,2
39,1732617506.765761,Head Camera,2
40,1732617507.1672018,Head Camera,2
41,1732617507.2029395,Head Camera,2
42,1732617507.4477675,Head Camera,2
43,1732617507.5066748,Head Camera,2
44,1732617507.553083,Head Camera,2
45,1732617507.9261937,Head Camera,2
46,1732617508.0282478,Head Camera,2
47,1732617508.1628563,Head Camera,2
48,1732617508.2507195,Head Camera,2
49,1732617508.4199965,Head Camera,2
50,1732617508.6887825,Head Camera,2
51,1732617508.7579837,Head Camera,2
52,1732617508.857102,Head Camera,2
53,1732617509.1481674,Head Camera,2
54,1732617509.347155,Head Camera,2
55,1732617509.5827951,Head Camera,2
56,1732617509.6819148,Head Camera,2
57,1732617509.8940804,Head Camera,2
58,1732617510.0169373,Head Camera,2
59,1732617510.0857694,Head Camera,2
60,1732617510.4641676,Head Camera,2
61,1732617510.5574324,Head Camera,2
62,1732617510.7396617,Head Camera,2
63,1732617510.9383404,Head Camera,2
64,1732617511.0483358,Head Camera,2
65,1732617511.356279,Head Camera,2
66,1732617511.4550946,Head Camera,2
67,1732617511.513471,Head Camera,2
68,1732617511.6272588,Head Camera,2
69,1732617511.6998866,Head Camera,2
70,1732617512.1029868,Head Camera,2
71,1732617512.1889484,Head Camera,2
72,1732617512.2837515,Head Camera,2
73,1732617512.4632845,Head Camera,2
74,1732617512.5560083,Head Camera,2
75,1732617512.8247385,Head Camera,2
76,1732617512.9402747,Head Camera,2
77,1732617513.0219977,Head Camera,2
78,1732617513.1252367,Head Camera,2
79,1732617513.3183317,Head Camera,2
80,1732617513.524783,Head Camera,2
81,1732617513.7909062,Head Camera,2
82,1732617513.9900155,Head Camera,2
83,1732617514.090073,Head Camera,2
84,1732617514.2057316,Head Camera,2
85,1732617514.5584488,Head Camera,2
86,1732617514.707729,Head Camera,2
87,1732617514.7931032,Head Camera,2
88,1732617514.8930714,Head Camera,2
89,1732617514.9718883,Head Camera,2
90,1732617515.3219116,Head Camera,2
91,1732617515.443134,Head Camera,2
92,1732617515.513476,Head Camera,2
93,1732617515.6649325,Head Camera,2
94,1732617515.8500357,Head Camera,2
95,1732617516.188964,Head Camera,2
96,1732617516.297716,Head Camera,2
97,1732617516.6351688,Head Camera,2
98,1732617516.6972246,Head Camera,2
99,1732617516.802246,Head Camera,2
100,1732617517.205587,Head Camera,2
101,1732617517.313437,Head Camera,2
102,1732617517.3721955,Head Camera,2
103,1732617517.4702814,Head Camera,2
104,1732617517.614499,Head Camera,2
105,1732617517.962568,Head Camera,2
106,1732617518.0506985,Head Camera,2
107,1732617518.2313557,Head Camera,2
108,1732617518.3529394,Head Camera,2
109,1732617518.563761,Head Camera,2
110,1732617518.9022324,Head Camera,2
111,1732617519.0213494,Head Camera,2
112,1732617519.0897362,Head Camera,2
113,1732617519.1597364,Head Camera,2
114,1732617519.2069955,Head Camera,2
115,1732617519.700129,Head Camera,2
116,1732617519.8944316,Head Camera,2
117,1732617520.0916145,Head Camera,2
118,1732617520.2870493,Head Camera,2
119,1732617520.389408,Head Camera,2
120,1732617520.6212437,Head Camera,2
121,1732617520.7686603,Head Camera,2
122,1732617520.9045525,Head Camera,2
123,1732617521.1528263,Head Camera,2
124,1732617521.2510395,Head Camera,2
125,1732617521.5911665,Head Camera,2
126,1732617521.713759,Head Camera,2
127,1732617521.890409,Head Camera,2
128,1732617522.036104,Head Camera,2
129,1732617522.2144043,Head Camera,2
130,1732617522.5030382,Head Camera,2
131,1732617522.6150649,Head Camera,2
132,1732617522.6831548,Head Camera,2
133,1732617522.8183603,Head Camera,2
134,1732617522.871725,Head Camera,2
135,1732617523.2884502,Head Camera,2
136,1732617523.3883257,Head Camera,2
137,1732617523.497691,Head Camera,2
138,1732617523.6151383,Head Camera,2
139,1732617523.8204377,Head Camera,2
140,1732617524.188985,Head Camera,2
141,1732617524.3086586,Head Camera,2
142,1732617524.4008648,Head Camera,2
143,1732617524.4537587,Head Camera,2
144,1732617524.544957,Head Camera,2
145,1732617525.1429913,Head Camera,2
146,1732617525.2089598,Head Camera,2
147,1732617525.2742755,Head Camera,2
148,1732617525.5737748,Head Camera,2
149,1732617525.7083943,Head Camera,2
150,1732617525.988403,Head Camera,2
151,1732617526.10323,Head Camera,2
152,1732617526.154291,Head Camera,2
153,1732617526.3626428,Head Camera,2
154,1732617526.44928,Head Camera,2
155,1732617526.7531447,Head Camera,2
156,1732617526.8467312,Head Camera,2
157,1732617527.0558314,Head Camera,2
158,1732617527.2031548,Head Camera,2
159,1732617527.318626,Head Camera,2
160,1732617527.6098704,Head Camera,2
161,1732617527.6735923,Head Camera,2
162,1732617527.9136462,Head Camera,2
163,1732617528.0243175,Head Camera,2
164,1732617528.118253,Head Camera,2
165,1732617528.4314675,Head Camera,2
166,1732617528.5446284,Head Camera,2
167,1732617528.6178737,Head Camera,2
168,1732617528.9065082,Head Camera,2
169,1732617529.0125828,Head Camera,2
170,1732617529.271452,Head Camera,2
171,1732617529.379215,Head Camera,2
172,1732617529.5700593,Head Camera,2
173,1732617529.660711,Head Camera,2
174,1732617529.9008791,Head Camera,2
175,1732617530.1832747,Head Camera,2
176,1732617530.266309,Head Camera,2
177,1732617530.3802483,Head Camera,2
178,1732617530.5410612,Head Camera,2
179,1732617530.7434192,Head Camera,2
180,1732617531.067011,Head Camera,2
181,1732617531.1830263,Head Camera,2
182,1732617531.3612015,Head Camera,2
183,1732617531.5622144,Head Camera,2
184,1732617531.8257017,Head Camera,2
185,1732617532.1454446,Head Camera,2
186,1732617532.235152,Head Camera,2
187,1732617532.4462323,Head Camera,2
188,1732617532.6907542,Head Camera,2
189,1732617532.8289292,Head Camera,2
190,1732617533.102111,Head Camera,2
191,1732617533.235036,Head Camera,2
192,1732617533.436087,Head Camera,2
193,1732617533.6362147,Head Camera,2
194,1732617533.7758536,Head Camera,2
195,1732617534.08606,Head Camera,2
196,1732617534.2309415,Head Camera,2
197,1732617534.433053,Head Camera,2
198,1732617534.4862297,Head Camera,2
199,1732617534.5498228,Head Camera,2
200,1732617535.0423405,Head Camera,2
201,1732617535.1611197,Head Camera,2
202,1732617535.271771,Head Camera,2
203,1732617535.3500886,Head Camera,2
204,1732617535.5231156,Head Camera,2
205,1732617535.807073,Head Camera,2
206,1732617535.8910763,Head Camera,2
207,1732617535.939005,Head Camera,2
208,1732617536.332755,Head Camera,2
209,1732617536.5336442,Head Camera,2
210,1732617536.77193,Head Camera,2
211,1732617536.8612025,Head Camera,2
212,1732617537.1293228,Head Camera,2
213,1732617537.2269714,Head Camera,2
214,1732617537.3167548,Head Camera,2
215,1732617537.599877,Head Camera,2
216,1732617537.713316,Head Camera,2
217,1732617537.8298042,Head Camera,2
218,1732617537.9901507,Head Camera,2
219,1732617538.1874406,Head Camera,2
220,1732617538.4355357,Head Camera,2
221,1732617538.569154,Head Camera,2
222,1732617538.6475506,Head Camera,2
223,1732617538.7102754,Head Camera,2
224,1732617538.8638792,Head Camera,2
225,1732617539.221237,Head Camera,2
226,1732617539.3403995,Head Camera,2
227,1732617539.399768,Head Camera,2
228,1732617539.510857,Head Camera,2
229,1732617539.7817893,Head Camera,2
230,1732617540.0556216,Head Camera,2
231,1732617540.1509109,Head Camera,2
232,1732617540.2490125,Head Camera,2
233,1732617540.4436872,Head Camera,2
234,1732617540.5614712,Head Camera,2
235,1732617540.8458626,Head Camera,2
236,1732617540.9507434,Head Camera,2
237,1732617541.018799,Head Camera,2
238,1732617541.305622,Head Camera,2
239,1732617541.429258,Head Camera,2
240,1732617541.651609,Head Camera,2
241,1732617541.741443,Head Camera,2
242,1732617541.904277,Head Camera,2
243,1732617541.9889596,Head Camera,2
244,1732617542.1728716,Head Camera,2
245,1732617542.395619,Head Camera,2
246,1732617542.5258842,Head Camera,2
247,1732617542.6093688,Head Camera,2
248,1732617542.769472,Head Camera,2
249,1732617542.963695,Head Camera,2
250,1732617543.1998444,Head Camera,2
251,1732617543.3095562,Head Camera,2
252,1732617543.494562,Head Camera,2
253,1732617543.6295247,Head Camera,2
254,1732617543.6851923,Head Camera,2
255,1732617544.0443506,Head Camera,2
256,1732617544.1733413,Head Camera,2
257,1732617544.242681,Head Camera,2
