Controller,RW-WITH-VR-1,RW-WITH-VR-2,RW-WITH-VR-3,RW-WITH-VR-4,RW-NO-VR-1,RW-NO-VR-2,RW-NO-VR-3,RW-NO-VR-4
SBC,5.0,4.0,6.0,7.0,4,3,4,6
SBC,5.0,5.0,5.0,7.0,6,6,6,7
SBC,2.0,2.0,3.0,3.0,3,2,5,2
SBC,3.0,3.0,5.0,5.0,4,3,3,3
SBC,6.0,5.0,4.0,6.0,5,7,6,7
SBC,6.0,6.0,4.0,3.0,6,6,5,3
SBC,7.0,2.0,3.0,4.0,3,5,2,5
SBC,3.0,1.0,5.0,7.0,2,2,1,5
SBC,7.0,7.0,5.0,5.0,6,6,7,6
WBC,5.0,5.0,5.0,5.0,3,3,6,6
WBC,4.0,5.0,6.0,6.0,2,4,4,6
WBC,2.0,2.0,2.0,2.0,3,3,4,5
WBC,6.0,6.0,4.0,4.0,6,5,5,5
WBC,5.0,6.0,6.0,6.0,6,6,6,7
WBC,6.0,6.0,3.0,4.0,5,4,2,3
WBC,5.0,6.0,6.0,6.0,6,6,5,6
WBC,3.0,3.0,2.0,6.0,2,2,1,5
WBC,7.0,5.0,6.0,7.0,7,7,7,7
WBC,5.0,4.0,3.0,6.0,5,5,4,5
SBC,6.0,7.0,7.0,7.0,7,7,4,7
