,Controller being tested?,SIM-WITH-VR_Please answer the following questions [I feel I could perceive the depth of the objects well],SIM-WITH-VR_Please answer the following questions [I felt as though the robot's movements were my own.],SIM-WITH-VR_Please answer the following questions [I feel like it was an immersive experience],SIM-WITH-VR_Please answer the following questions [I feel like the simulation training was enough for me to understand how to use the system],SIM-NO-VR_Please answer the following questions [I feel I could perceive the depth of the objects well].1,SIM-NO-VR_Please answer the following questions [I felt as though the robot's movements were my own.].1,SIM-NO-VR_Please answer the following questions [I feel like it was an immersive experience].1,SIM-NO-VR_Please answer the following questions [I feel like the simulation training was enough for me to understand how to use the system].1,RW-WITH-VR_Please answer the following questions [I feel I could rotate well the base of the robot the way I wanted to ],RW-WITH-VR_Please answer the following questions [I feel I could translate the base of the robot the way I wanted to],RW-WITH-VR_Please answer the following questions [I feel I could move the robot's arm the way I wanted to],RW-WITH-VR_Please answer the following questions [I feel I could rotate the robot's hand the way I wanted to],RW-WITH-VR_Please answer the following questions [I feel I could move the base at the same time I moved the robot's arm to accomplish the task],RW-WITH-VR_Please answer the following questions [I feel I could perceive the depth of the objects well].2,RW-WITH-VR_Please answer the following questions [I do not feel sick after using this visual interface],RW-WITH-VR_Please answer the following questions [I feel I did not need to move myself too much to accomplish the task],RW-WITH-VR_Please answer the following questions [I feel that my arm is sore from the teleoperation],RW-WITH-VR_Please answer the following questions [I feel like it took me a lot of time to move the robot's base from A to B],RW-WITH-VR_Please answer the following questions [I feel like I improved my performance considerably over the runs],"RW-WITH-VR_Please answer the following questions [I feel like with more training, I would feel less tired]",RW-WITH-VR_Please answer the following questions [I felt as though the robot's movements were my own.].2,RW-WITH-VR_Please answer the following questions [I feel like it was an immersive experience].2,RW-NO-VR_Please answer the following questions [I feel I could rotate well the base of the robot the way I wanted to ].1,RW-NO-VR_Please answer the following questions [I feel I could translate the base of the robot the way I wanted to].1,RW-NO-VR_Please answer the following questions [I feel I could move the robot's arm the way I wanted to].1,RW-NO-VR_Please answer the following questions [I feel I could rotate the robot's hand the way I wanted to].1,RW-NO-VR_Please answer the following questions [I feel I could move the base at the same time I moved the robot's arm to accomplish the task].1,RW-NO-VR_Please answer the following questions [I feel I could perceive the depth of the objects well].3,RW-NO-VR_Please answer the following questions [I do not feel sick after using this visual interface].1,RW-NO-VR_Please answer the following questions [I feel I did not need to move myself too much to accomplish the task].1,RW-NO-VR_Please answer the following questions [I feel that my arm is sore from the teleoperation].1,RW-NO-VR_Please answer the following questions [I feel like it took me a lot of time to move the robot's base from A to B].1,RW-NO-VR_Please answer the following questions [I feel like I improved my performance considerably over the runs].1,"RW-NO-VR_Please answer the following questions [I feel like with more training, I would feel less tired].1",RW-NO-VR_Please answer the following questions [I felt as though the robot's movements were my own.].3,RW-NO-VR_Please answer the following questions [I feel like it was an immersive experience].3
0,SBC,Slightly Agree,Slightly Agree,Slightly Agree,Strongly Agree,Strongly Disagree,Slightly Agree,Neither Agree not Disagree,Slightly Agree,Strongly Agree,Strongly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Neither Agree not Disagree,Slightly Agree,Strongly Disagree,Strongly Agree,Neither Agree not Disagree,Slightly Disagree,Slightly Agree,Strongly Agree,Strongly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Slightly Agree,Slightly Agree,Neither Agree not Disagree,Slightly Agree
1,SBC,Strongly Disagree,Slightly Disagree,Slightly Disagree,Strongly Disagree,Slightly Agree,Slightly Disagree,Neither Agree not Disagree,Slightly Disagree,Strongly Agree,Strongly Agree,Neither Agree not Disagree,Strongly Disagree,Slightly Disagree,Strongly Disagree,Neither Agree not Disagree,Slightly Agree,Slightly Agree,Strongly Disagree,Strongly Agree,Neither Agree not Disagree,Slightly Agree,Slightly Agree,Strongly Agree,Strongly Agree,Neither Agree not Disagree,Strongly Disagree,Neither Agree not Disagree,Slightly Disagree,Neither Agree not Disagree,Strongly Agree,Neither Agree not Disagree,Slightly Agree,Strongly Agree,Slightly Agree,Slightly Disagree,Neither Agree not Disagree
2,SBC,Slightly Disagree,Slightly Disagree,Strongly Agree,Slightly Agree,Slightly Disagree,Strongly Disagree,Slightly Disagree,Neither Agree not Disagree,Strongly Agree,Strongly Agree,Slightly Agree,Strongly Agree,Strongly Agree,Neither Agree not Disagree,Strongly Agree,Slightly Agree,Strongly Disagree,Slightly Disagree,Slightly Agree,Strongly Agree,Slightly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly Agree,Strongly Agree,Strongly Agree,Slightly Agree,Strongly Agree,Slightly Agree,Strongly Disagree,Strongly Disagree,Slightly Disagree,Strongly Agree,Slightly Agree,Strongly Agree
3,SBC,Neither Agree not Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Neither Agree not Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Strongly Agree,Neither Agree not Disagree,Neither Agree not Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree not Disagree,Strongly Disagree,Slightly Agree,Strongly Agree,Slightly Disagree,Slightly Agree,Strongly Agree,Strongly Agree,Slightly Disagree,Neither Agree not Disagree,Strongly Agree,Neither Agree not Disagree,Strongly Agree,Strongly Agree,Slightly Disagree,Strongly Disagree,Neither Agree not Disagree,Slightly Agree,Slightly Disagree,Slightly Agree
4,SBC,Slightly Disagree,Neither Agree not Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Strongly Agree,Strongly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree not Disagree,Strongly Agree,Slightly Agree,Slightly Agree,Strongly Disagree,Strongly Agree,Slightly Agree,Slightly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree not Disagree,Slightly Agree,Slightly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly Agree,Strongly Disagree,Strongly Agree,Slightly Disagree,Slightly Agree,Strongly Agree
5,SBC,Slightly Agree,Slightly Disagree,Neither Agree not Disagree,Slightly Agree,Strongly Agree,Neither Agree not Disagree,Slightly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Neither Agree not Disagree,Strongly Agree,Slightly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Slightly Disagree,Neither Agree not Disagree,Strongly Agree,Strongly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Slightly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Slightly Agree
6,SBC,Strongly Disagree,Slightly Disagree,Slightly Agree,Strongly Agree,Neither Agree not Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Strongly Agree,Strongly Agree,Slightly Disagree,Slightly Agree,Strongly Disagree,Slightly Disagree,Strongly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Slightly Disagree,Strongly Agree,Neither Agree not Disagree,Strongly Agree,Strongly Agree
7,SBC,Slightly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Strongly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Strongly Agree,Strongly Agree,Slightly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree not Disagree,Neither Agree not Disagree,Slightly Agree,Strongly Agree,Neither Agree not Disagree,Strongly Agree,Slightly Agree,Slightly Agree,Strongly Agree,Strongly Agree,Slightly Agree,Slightly Agree
8,SBC,Slightly Agree,Strongly Disagree,Slightly Agree,Slightly Agree,Neither Agree not Disagree,Strongly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Strongly Disagree,Strongly Disagree,Neither Agree not Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Strongly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Strongly Agree,Strongly Agree,Slightly Disagree,Strongly Disagree,Neither Agree not Disagree,Slightly Disagree,Strongly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Strongly Agree
9,WBC,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Strongly Disagree,Strongly Disagree,Slightly Agree,Slightly Agree,Neither Agree not Disagree,Slightly Agree,Neither Agree not Disagree,Strongly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Strongly Disagree,Slightly Agree,Strongly Disagree,Strongly Disagree,Slightly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly Agree,Neither Agree not Disagree,Strongly Disagree,Slightly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Slightly Disagree,Slightly Agree,Strongly Disagree,Slightly Agree,Neither Agree not Disagree
10,WBC,Slightly Agree,Neither Agree not Disagree,Strongly Agree,Slightly Agree,Strongly Disagree,Slightly Disagree,Strongly Disagree,Slightly Disagree,Neither Agree not Disagree,Neither Agree not Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Neither Agree not Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Strongly Agree,Slightly Disagree,Strongly Agree,Strongly Agree,Slightly Disagree,Strongly Agree,Strongly Agree,Slightly Agree,Strongly Disagree,Slightly Agree,Strongly Agree,Neither Agree not Disagree,Slightly Disagree,Slightly Agree
11,WBC,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Strongly Disagree,Slightly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Agree not Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree not Disagree,Slightly Disagree,Slightly Agree,Strongly Disagree,Strongly Disagree,Slightly Agree,Slightly Agree,Neither Agree not Disagree,Slightly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Strongly Agree,Neither Agree not Disagree,Strongly Disagree,Slightly Agree
