Controller,SIM-WITH-VR,SIM-NO-VR,RW-WITH-VR-1,RW-WITH-VR-2,RW-WITH-VR-3,RW-NO-VR-1,RW-NO-VR-2,RW-NO-VR-3
SBC,4,5,6,5.0,4.0,4,3,3.0
SBC,7,5,6,5.0,4.0,2,3,3.0
SBC,3,5,5,4.0,3.0,2,2,2.0
SBC,6,4,3,2.0,4.0,4,3,3.0
SBC,5,6,6,5.0,4.0,3,3,2.0
SBC,5,2,6,4.0,3.0,6,2,3.0
SBC,6,5,3,3.0,3.0,3,3,2.0
SBC,5,4,4,4.0,3.0,2,2,2.0
SBC,5,3,6,5.0,3.0,3,2,2.0
WBC,3,6,4,3.0,2.0,4,2,2.0
WBC,3,5,6,6.0,3.0,2,2,1.0
WBC,5,6,7,7.0,6.0,3,2,2.0
WBC,5,4,3,3.0,2.0,2,2,1.0
WBC,4,1,2,1.0,2.0,3,1,1.0
WBC,6,4,3,3.0,3.0,2,2,3.0
WBC,4,3,7,7.0,6.0,2,1,2.0
WBC,7,6,5,4.0,3.0,2,2,2.0
WBC,5,3,4,4.0,3.0,3,2,2.0
WBC,6,5,6,3.0,5.0,3,2,3.0
SBC,4,2,3,2.0,3.0,2,2,1.0
