Controller,SIM-WITH-VR,SIM-NO-VR,RW-WITH-VR-1,RW-WITH-VR-2,RW-WITH-VR-3,RW-NO-VR-1,RW-NO-VR-2,RW-NO-VR-3
SBC,4,3,2,3.0,4.0,4,5,5.0
SBC,1,3,2,3.0,4.0,6,5,5.0
SBC,5,3,3,4.0,5.0,6,6,6.0
SBC,2,4,5,6.0,4.0,4,5,5.0
SBC,3,2,2,3.0,4.0,5,5,6.0
SBC,3,6,2,4.0,5.0,2,6,5.0
SBC,2,3,5,5.0,5.0,5,5,6.0
SBC,3,4,4,4.0,5.0,6,6,6.0
SBC,3,5,2,3.0,5.0,5,6,6.0
WBC,5,2,4,5.0,6.0,4,6,6.0
WBC,5,3,2,2.0,5.0,6,6,7.0
WBC,3,2,1,1.0,2.0,5,6,6.0
WBC,3,4,5,5.0,6.0,6,6,7.0
WBC,4,7,6,7.0,6.0,5,7,7.0
WBC,2,4,5,5.0,5.0,6,6,5.0
WBC,4,5,1,1.0,2.0,6,7,6.0
WBC,1,2,3,4.0,5.0,6,6,6.0
WBC,3,5,4,4.0,5.0,5,6,6.0
WBC,2,3,2,5.0,3.0,5,6,5.0
SBC,4,6,5,6.0,5.0,6,6,7.0
