Controller,RW-WITH-VR-1,RW-WITH-VR-2,RW-WITH-VR-3,RW-WITH-VR-4,RW-NO-VR-1,RW-NO-VR-2,RW-NO-VR-3,RW-NO-VR-4
SBC,4.0,3.0,5.0,6.0,5.0,2,6,4
SBC,3.0,5.0,2.0,4.0,4.0,2,3,4
SBC,6.0,1.0,6.0,5.0,7.0,1,6,4
SBC,5.0,2.0,5.0,3.0,5.0,2,5,4
SBC,4.0,3.0,2.0,6.0,5.0,1,3,6
SBC,3.0,2.0,4.0,7.0,3.0,2,4,7
SBC,5.0,1.0,6.0,5.0,6.0,1,7,2
SBC,4.0,4.0,3.0,6.0,5.0,2,5,5
SBC,7.0,5.0,3.0,4.0,3.0,3,5,4
WBC,6.0,4.0,6.0,4.0,5.0,4,5,2
WBC,,5.0,3.0,6.0,5.0,1,3,2
WBC,4.0,3.0,2.0,7.0,4.0,2,3,4
WBC,6.0,3.0,4.0,5.0,6.0,3,5,3
WBC,,2.0,3.0,3.0,,2,6,4
WBC,5.0,2.0,6.0,5.0,6.0,2,6,4
WBC,2.0,6.0,3.0,6.0,5.0,2,3,5
WBC,4.0,5.0,4.0,5.0,3.0,2,4,5
WBC,2.0,6.0,4.0,6.0,3.0,4,5,5
WBC,6.0,6.0,4.0,5.0,5.0,5,3,4
SBC,7.0,2.0,7.0,3.0,6.0,1,7,2
