Controller,ID,RW-WITH-VR-1,RW-WITH-VR-2,RW-WITH-VR-3,RW-WITH-VR-4,RW-NO-VR-1,RW-NO-VR-2,RW-NO-VR-3,RW-NO-VR-4,UMUX_With_VR,UMUX_No_VR
SBC,HASJ22,4.0,3.0,5.0,6.0,5.0,2,6,4,50.0,70.83333333333334
SBC,AAHF21,3.0,5.0,2.0,4.0,4.0,2,3,4,33.33333333333333,54.166666666666664
SBC,DOCS21,6.0,1.0,6.0,5.0,7.0,1,6,4,75.0,83.33333333333334
SBC,ATSF08,5.0,2.0,5.0,3.0,5.0,2,5,4,70.83333333333334,66.66666666666666
SBC,CEEJ05,4.0,3.0,2.0,6.0,5.0,1,3,6,37.5,54.166666666666664
SBC,NULS22,3.0,2.0,4.0,7.0,3.0,2,4,7,41.66666666666667,41.66666666666667
SBC,DAMA12,5.0,1.0,6.0,5.0,6.0,1,7,2,70.83333333333334,91.66666666666666
SBC,XHKB15,4.0,4.0,3.0,6.0,5.0,2,5,5,37.5,62.5
SBC,RENL05,7.0,5.0,3.0,4.0,3.0,3,5,4,54.166666666666664,54.166666666666664
WBC,ARAH22,6.0,4.0,6.0,4.0,5.0,4,5,2,66.66666666666666,66.66666666666666
WBC,BTHH23,,5.0,3.0,6.0,5.0,1,3,2,,70.83333333333334
WBC,ELBH19,4.0,3.0,2.0,7.0,4.0,2,3,4,33.33333333333333,54.166666666666664
WBC,LEMT02,6.0,3.0,4.0,5.0,6.0,3,5,3,58.333333333333336,70.83333333333334
WBC,MGNH15,,2.0,3.0,3.0,,2,6,4,,
WBC,DOFS27,5.0,2.0,6.0,5.0,6.0,2,6,4,66.66666666666666,75.0
WBC,IICM04,2.0,6.0,3.0,6.0,5.0,2,3,5,20.833333333333336,54.166666666666664
WBC,REKD03,4.0,5.0,4.0,5.0,3.0,2,4,5,41.66666666666667,50.0
WBC,NRKH02,2.0,6.0,4.0,6.0,3.0,4,5,5,25.0,45.83333333333333
WBC,SASD12,6.0,6.0,4.0,5.0,5.0,5,3,4,45.83333333333333,45.83333333333333
SBC,EECW29,7.0,2.0,7.0,3.0,6.0,1,7,2,87.5,91.66666666666666
